day,death,deathIncrease,negative,negativeIncrease,positive,positiveIncrease,recovered,totalTestResults,totalTestResultsIncrease
1,2,2,0,0,0,0,,0,0
2,2,0,0,0,0,0,,0,0
3,4,2,0,0,0,0,,0,0
4,5,1,24,24,18,18,,42,42
5,8,3,85,61,45,27,,130,88
6,11,3,243,158,85,40,,328,198
7,14,3,446,203,126,41,,572,244
8,16,2,1417,971,259,133,,1676,1104
9,20,4,1949,532,358,99,,2307,631
10,26,6,2672,723,456,98,,3128,821
11,27,1,3333,661,615,159,,3948,820
12,31,4,4049,716,790,175,,4839,891
13,35,4,5583,1534,1046,256,,6629,1790
14,37,2,7767,2184,1381,335,,9148,2519
15,43,6,11188,3421,1830,449,,13018,3870
16,51,8,15938,4750,2435,605,,18373,5355
17,55,4,24256,8318,3380,945,,27636,9263
18,64,9,28108,3852,4185,805,,32293,4657
19,79,15,34661,6553,5290,1105,,39951,7658
20,100,21,51186,16525,6790,1500,,57976,18025
21,123,23,65131,13945,10342,3552,,75473,17497
22,155,32,87199,22068,13424,3082,,100623,25150
23,203,48,110522,23323,18092,4668,,128614,27991
24,272,69,141090,30568,24245,6153,,165335,36721
25,334,62,179718,38628,31038,6793,,210756,45421
26,480,146,216174,36456,40199,9161,,256373,45617
27,581,101,263068,46894,51657,11458,,314725,58352
28,815,234,321763,58695,62372,10715,,384135,69410
29,1050,235,393491,71728,75279,12907,146,468770,84635
30,1370,320,477802,84311,92999,17720,97,570801,102031
31,1776,406,561583,83781,112131,19132,2418,673714,102913
32,2314,538,648958,87375,131822,19691,3143,780780,107066
33,2835,521,717145,68187,151401,19579,4052,868546,87766
34,3424,589,813851,96706,173456,22055,4560,987307,118761
35,4314,890,901508,87657,198304,24848,5666,1099812,112505
36,5324,1010,984489,82981,224089,25785,7084,1208578,108766
37,6496,1172,1075547,91058,252146,28057,8586,1327693,119115
38,7782,1286,1176560,101013,284222,32076,10861,1460782,133089
39,9264,1482,1372626,196066,317434,33212,12816,1690060,229278
40,10604,1340,1466925,94299,342934,25500,14513,1809859,119799
41,11922,1318,1590178,123253,371936,29002,16554,1962114,152255
42,13946,2024,1713782,123604,402821,30885,18443,2116603,154489
43,15956,2010,1830936,117154,433416,30595,21102,2264352,147749
44,17999,2043,1967684,136748,467911,34495,24819,2435595,171243
45,20107,2108,2091876,124192,502294,34383,28997,2594170,158575
46,22162,2055,2198468,106592,532800,30506,31567,2731268,137098
47,23865,1703,2309672,111204,560563,27763,34081,2870235,138967
48,25509,1644,2419021,109349,585763,25200,35372,3004784,134549
49,27845,2336,2545433,126412,611472,25709,39268,3156905,152121
50,30389,2544,2652457,107024,641782,30310,43435,3294239,137334
51,32589,2200,2785630,133173,672761,30979,48851,3458391,164152
52,34709,2120,2912972,127342,704774,32013,53533,3617746,159355
53,36602,1893,3031223,118251,732679,27905,62840,3763902,146156
54,38374,1772,3158055,126832,760067,27388,67205,3918122,154220
55,40172,1798,3278424,120369,785966,25899,69493,4064390,146268
56,42639,2467,3405487,127063,812326,26360,72842,4217813,153423
